DATE,HEURE,TX_STATUS,TX_HASH,BLOCK_DETECTED,ASSET_IN_THOR,ASSET_OUT_THOR,AMOUNT_IN_THOR,AMOUNT_OUT_ESTIMATED_THOR,AMOUNT_OUT_REAL_THOR,ORDER_ID,ASSET_IN_BYBIT,ASSET_OUT_BYBIT,AMOUNT_IN_ESTIMATED_BYBIT,AMOUNT_IN_REAL_BYBIT,AMOUNT_OUT_ESTIMATED_BYBIT,AMOUNT_OUT_REAL_BYBIT,GAIN_NET_STABLE_ESTIMATED,GAIN_NET_STABLE_REAL,GAIN_NET_ASSET_ESTIMATED,GAIN_NET_ASSET_REAL,GAIN_TOTAL_ESTIMATED,GAIN_TOTAL_REAL
2023-11-06,00:19:44,OK,"""C1E64F49D2DF3055E1FAB8AB8E449649D848F0F3CDC3C77513874A934F44D828""",13322824,WBTC-0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1006771,35248238624.416756,35250290100,1547647710017094400,USDC,BTC,352.482386,352.45745288,0.010070947395987353,0.010072,2.4416755195488804e-07,0.0454481200000032,3.237395987351968e-06,4.289999999998809e-06,0.11330885536075332,0.19559779088295873
2023-11-06,00:39:25,OK,"""83FC88C309F83E99FC48594180250AC594F5C2427BC7F63A91AA6CE6F7322C73""",13323016,WBTC-0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,953077,33446512591.39055,33447664100,1547657615855846144,USDC,BTC,334.465125,334.45345792,0.009533647881924972,0.009536,9.139054668594326e-07,0.02318307999996705,2.8778819249723753e-06,5.230000000000165e-06,0.10096448549133982,0.20666506194375403
2023-11-06,01:35:56,OK,"""F9944F8615D3E131B75435818D095ABCDA03DC45F770DC767B441F8BF8C4BB59""",13323560,WBTC-0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1221620,42810211694.063255,42816357400,1547686068059636480,USDC,BTC,428.102116,428.08365779,0.012222122043944116,0.012225,9.406325034433394e-07,0.07991620999996485,5.922043944115926e-06,8.79999999999978e-06,0.20743133119611717,0.3881522606245873
2023-11-06,01:50:42,OK,"""9071D091DB6947EF5EC3E3A839CE49639DE7FD8257A100B09CF23C4D9B736352""",13323703,WBTC-0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1295170,45234395852.67201,45197682900,1547693498487276289,USDC,BTC,452.343958,452.3220507,0.012958510942387117,0.012961,5.267201572678459e-07,-0.34522169999996777,6.81094238711745e-06,9.30000000000028e-06,0.23775073230964286,-0.02058572654577706
2023-11-06,01:51:25,OK,"""F869E9D92BDA6E167B4A32057D91CECCF51CFE88F20354BD543B770002F552C0""",13323710,WBTC-0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1237284,43192648987.502655,43190514100,1547693853895820032,USDC,BTC,431.926489,431.90331,0.0123772197710845,0.012379,8.750265578783001e-07,0.0018310000000383297,4.3797710845006055e-06,6.159999999999846e-06,0.1528412693939538,0.21679584887877548
2023-11-06,01:53:08,OK,"""8B71FD1EB1781A03AAF57C4C97D24F16AC5D8E043F36185012F853EEDC83E0CB""",13323727,WBTC-0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1306966,45620612747.16436,45628574300,1547694723601531650,USDC,BTC,456.206127,456.17725902,0.013076352037171755,0.013083,4.716436023954884e-07,0.1084839800000168,6.6920371717543725e-06,1.3339999999998839e-05,0.23347142396607182,0.573888224484358
2023-11-06,01:53:14,OK,"""52DB20A2E29B926FD42EC73C56B64621D761F36A2CEEA90A2A10D6729FE94B4E""",13323728,WBTC-0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1487693,51922084269.23883,51917717300,1547694776399430400,USDC,BTC,519.220842,519.20548575,0.014885063858342313,0.014889,6.923883120180108e-07,-0.028312749999940934,8.133858342312603e-06,1.2069999999999442e-05,0.28372596377632403,0.3927130266402115
2023-11-06,01:59:53,OK,"""602721AF5970263D7022724CE6012C71B357355E306F0F37867C722E859D6E24""",13323793,WBTC-0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1377328,48120830860.9618,48130413600,1547698122589995776,USDC,BTC,481.208308,481.20526365,0.013781382091314473,0.013785,6.096179845371807e-07,0.09887235000002192,8.102091314472759e-06,1.1719999999999786e-05,0.2829035602658208,0.508102813210167
2023-11-06,01:59:59,OK,"""FE22988BDFA50ACBF2700DE038FE89F08A0B9F021878830915E47DC827C1DBD1""",13323794,WBTC-0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1362024,47586680934.8347,47605186300,1547698171260699393,USDC,BTC,475.866809,475.84785044,0.013627803329416616,0.013631,3.483470436549396e-07,0.20401256000002377,7.563329416615874e-06,1.0760000000000283e-05,0.26410288567721546,0.5797390615364634
2023-11-06,02:00:12,OK,"""3CA4B1F35F2CEBB584A461BCA0F3A0F3774EB4F9F7EB929CDC3F560C9BD49705""",13323796,WBTC-0X2260FAC5E5542A773AA44FBCFEDF7C193BC2C599,USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1200492,41942146373.72068,41947798100,1547698279431799552,USDC,BTC,419.421463,419.41060875,0.012010929213388113,0.012015,7.372067898359091e-07,0.06737225000000535,6.009213388112264e-06,1.0079999999999117e-05,0.20984237646496495,0.41936569524969897
